unit_id,cip4,earn_mdn_4yr,earn_n
138354.0,5138,89346.0,493.0
185572.0,5202,78591.0,492.0
221759.0,5202,82074.0,492.0
126562.0,5202,75142.0,489.0
433387.0,5214,71431.0,488.0
119605.0,5138,114413.0,487.0
134097.0,5214,84981.0,486.0
232557.0,5138,82883.0,485.0
218663.0,5202,70527.0,485.0
225511.0,4201,52892.0,484.0
483124.0,2401,59104.0,484.0
104151.0,2401,59104.0,484.0
196042.0,5202,61497.0,483.0
218742.0,5138,79947.0,483.0
228802.0,5138,83201.0,483.0
110583.0,1901,50361.0,481.0
110662.0,4506,95440.0,480.0
110617.0,1907,49847.0,480.0
190512.0,5218,76565.0,480.0
190549.0,4201,52742.0,480.0
225627.0,5202,64692.0,480.0
186380.0,1104,87757.0,479.0
186399.0,1104,87757.0,479.0
110714.0,1107,123422.0,479.0
104151.0,4510,66527.0,478.0
483124.0,4510,66527.0,478.0
186876.0,5202,64060.0,476.0
174066.0,3099,60270.0,476.0
185590.0,4201,48464.0,474.0
165662.0,5006,49951.0,474.0
183822.0,4201,48464.0,474.0
110662.0,4201,61050.0,473.0
169248.0,5202,74113.0,471.0
117140.0,5202,76769.0,471.0
186399.0,4506,86120.0,470.0
183026.0,0909,59801.0,470.0
186380.0,4506,86120.0,470.0
186371.0,4506,86120.0,470.0
136215.0,5138,88004.0,469.0
137032.0,4301,60389.0,469.0
132903.0,5209,54921.0,469.0
229027.0,4201,49048.0,469.0
134097.0,2301,52602.0,468.0
228459.0,0909,59009.0,468.0
122409.0,4201,51021.0,466.0
476975.0,5210,73403.0,466.0
197018.0,3802,18837.0,464.0
170976.0,4227,67537.0,463.0
228796.0,5138,89077.0,463.0
137351.0,5208,73933.0,463.0
178420.0,5201,65373.0,462.0
196264.0,4402,56825.0,461.0
187985.0,5138,86559.0,461.0
151111.0,5138,79722.0,461.0
227368.0,2601,47954.0,460.0
218663.0,5214,81945.0,459.0
228723.0,5202,82213.0,457.0
122597.0,5202,73775.0,456.0
209551.0,0909,73410.0,456.0
207388.0,5202,64062.0,456.0
110565.0,5100,54244.0,456.0
202806.0,5202,68306.0,456.0
426314.0,5202,83749.0,455.0
104586.0,5202,83749.0,455.0
133553.0,5202,83749.0,455.0
204820.0,5202,71478.0,454.0
204866.0,5202,71478.0,454.0
204848.0,5202,71478.0,454.0
204839.0,5202,71478.0,454.0
133951.0,5209,56667.0,454.0
204802.0,5202,71478.0,454.0
204857.0,5202,71478.0,454.0
377564.0,5138,98632.0,453.0
236948.0,5138,98632.0,453.0
377555.0,5138,98632.0,453.0
176035.0,5138,91522.0,452.0
169910.0,4301,60325.0,452.0
139755.0,1101,150628.0,451.0
227881.0,3099,56225.0,451.0
228723.0,3105,62888.0,451.0
486840.0,3099,54915.0,448.0
227368.0,3099,56493.0,448.0
185828.0,1101,97926.0,448.0
110705.0,4506,98178.0,448.0
104151.0,2301,50205.0,447.0
483124.0,2301,50205.0,447.0
227368.0,4201,40140.0,447.0
197045.0,5138,94981.0,446.0
164580.0,5202,107520.0,445.0
174066.0,4201,58449.0,445.0
145600.0,4201,52736.0,445.0
131159.0,4509,73865.0,444.0
216339.0,0909,67840.0,444.0
110565.0,4511,50922.0,443.0
122409.0,4301,57510.0,443.0
110556.0,4301,53438.0,442.0
133951.0,5208,71355.0,441.0
228459.0,4301,52447.0,441.0
483124.0,1904,50074.0,440.0
220862.0,5138,75444.0,440.0
433536.0,5138,91010.0,440.0
174154.0,5138,91010.0,440.0
140340.0,5138,91010.0,440.0
110608.0,0901,57138.0,440.0
496973.0,5138,91010.0,440.0
240392.0,5138,91010.0,440.0
386472.0,5138,91010.0,440.0
459851.0,5138,91010.0,440.0
104151.0,1904,50074.0,440.0
459842.0,5138,91010.0,440.0
499149.0,5138,91010.0,440.0
200785.0,5138,91010.0,440.0
201885.0,5214,72881.0,439.0
204796.0,5214,81119.0,438.0
154022.0,3017,45157.0,438.0
219709.0,5010,53893.0,435.0
181428.0,5138,76723.0,435.0
131469.0,4509,76751.0,433.0
476975.0,5203,75415.0,433.0
199139.0,5208,74965.0,433.0
234030.0,5201,68387.0,432.0
104717.0,5107,60328.0,432.0
489779.0,5100,54526.0,432.0
228723.0,0101,77479.0,430.0
137351.0,4504,53883.0,430.0
184782.0,5202,73631.0,430.0
240453.0,5214,64173.0,429.0
163259.0,5138,89750.0,429.0
228653.0,5138,91723.0,428.0
491288.0,5138,81067.0,428.0
151351.0,1101,98539.0,428.0
240453.0,5138,81067.0,428.0
110608.0,3105,50663.0,427.0
234827.0,5202,73036.0,426.0
110486.0,5202,61705.0,426.0
110644.0,4506,83248.0,425.0
187134.0,5202,85978.0,424.0
130943.0,5208,101605.0,424.0
199139.0,4201,50507.0,423.0
183026.0,2313,39966.0,423.0
190664.0,4201,57210.0,423.0
134130.0,5202,82615.0,422.0
484473.0,5202,82615.0,422.0
213349.0,5202,65407.0,421.0
243601.0,5139,42444.0,421.0
122409.0,5202,69902.0,419.0
110705.0,0901,72976.0,419.0
139931.0,5138,79988.0,418.0
230782.0,5138,77705.0,417.0
139755.0,1419,99955.0,416.0
110583.0,5007,43349.0,415.0
209807.0,5202,71621.0,414.0
377555.0,0901,64153.0,413.0
236948.0,0901,64153.0,413.0
104151.0,3105,55830.0,413.0
166656.0,5138,92960.0,413.0
199120.0,4510,72001.0,413.0
110608.0,5214,64373.0,413.0
377564.0,0901,64153.0,413.0
105330.0,1312,50738.0,412.0
134097.0,1101,93727.0,409.0
123572.0,5202,75887.0,409.0
137078.0,5202,62040.0,409.0
137351.0,5214,65269.0,408.0
110556.0,2401,58436.0,408.0
186380.0,0901,69709.0,408.0
174020.0,5202,71209.0,408.0
110565.0,4301,57135.0,408.0
174066.0,2401,70788.0,408.0
484473.0,0909,69600.0,407.0
134130.0,0909,69600.0,407.0
153603.0,5214,66482.0,407.0
130226.0,5199,80374.0,406.0
153603.0,5202,78304.0,406.0
137351.0,5203,78918.0,405.0
232423.0,0901,66436.0,404.0
165024.0,4201,51939.0,404.0
229027.0,3099,53872.0,404.0
225511.0,5202,73125.0,403.0
486840.0,4201,50645.0,403.0
240453.0,0901,55697.0,403.0
199120.0,4506,103846.0,403.0
215293.0,4201,54379.0,402.0
228529.0,3099,53503.0,402.0
215275.0,4201,54379.0,402.0
215266.0,4201,54379.0,402.0
240453.0,4201,52328.0,402.0
215284.0,4201,54379.0,402.0
